knob,min,max,vartype,safe,note,
GCS_SERVER_PROCESSES,0,5,,maybe,,
GLOBAL_TXN_PROCESSES,1,5,,maybe,,
HASH_AREA_SIZE,65536,10485760,,mostly,need PGA_AGGREGATE_TARGET=0,
HEAT_MAP,,,Bool,mostly,,
HS_AUTOREGISTER,,,Bool,maybe,,
INMEMORY_ADG_ENABLED,,,Bool,mostly,,
INMEMORY_EXPRESSIONS_USAGE,,,Enum,mostly,"STATIC_ONLY,DYNAMIC_ONLY,ENABLE,DISABLE",
INMEMORY_FORCE,,,Enum,mostly,"DEFAULT,OFF",
INMEMORY_QUERY,,,Enum,mostly,"ENABLE,DISABLE",
INMEMORY_VIRTUAL_COLUMNS,,,Enum,mostly,"ENABLE,MANUAL,DISABLE",
INSTANCE_ABORT_DELAY_TIME,0,60,,no effect,,
LOCK_SGA,,,Bool,maybe,,
LOG_CHECKPOINT_INTERVAL,1,1000000,,maybe,,
LOG_CHECKPOINT_TIMEOUT,180,3600,,maybe,,
LOG_CHECKPOINTS_TO_ALERT,,,Bool,no effect,,
MAX_DATAPUMP_JOBS_PER_PDB,10,200,,no effect,,
MAX_IDLE_TIME,1000,2000,,no effect,,
OBJECT_CACHE_MAX_SIZE_PERCENT,0,50,,maybe,,
OFS_THREADS,2,64,,mostly,,
OLAP_PAGE_POOL_SIZE,0,2000000000,,no,,
OPEN_CURSORS,50,5000,,mostly,,
OPTIMIZER_ADAPTIVE_REPORTING_ONLY,,,Bool,mostly,,
OPTIMIZER_ADAPTIVE_STATISTICS,,,Bool,mostly,,
OPTIMIZER_CAPTURE_SQL_PLAN_BASELINES,,,Bool,mostly,,
OPTIMIZER_DYNAMIC_SAMPLING,0,11,,mostly,,
OPTIMIZER_INDEX_CACHING,0,100,,mostly,,
OPTIMIZER_INDEX_COST_ADJ,50,200,,mostly,,
OPTIMIZER_INMEMORY_AWARE,,,Bool,mostly,,
OPTIMIZER_MODE,,,Enum,mostly,"FIRST_ROWS_1,FIRST_ROWS_10,FIRST_ROWS_100,FIRST_ROWS_1000,ALL_ROWS",
OPTIMIZER_SECURE_VIEW_MERGING,,,Bool,mostly,,
OPTIMIZER_USE_INVISIBLE_INDEXES,,,Bool,mostly,,
OPTIMIZER_USE_PENDING_STATISTICS,,,Bool,mostly,,
OPTIMIZER_USE_SQL_PLAN_BASELINES,,,Bool,mostly,,
PARALLEL_ADAPTIVE_MULTI_USER,,,Bool,deprecated,,
PARALLEL_DEGREE_POLICY,,,Enum,mostly,"MANUAL,LIMITED,AUTO,ADAPTIVE",
PARALLEL_EXECUTION_MESSAGE_SIZE,2148,16384,,mostly,,
PARALLEL_FORCE_LOCAL,,,Bool,mostly,,
PARALLEL_MIN_PERCENT,0,100,,mostly,,
PRE_PAGE_SGA,,,Bool,mostly,,
QUERY_REWRITE_ENABLED,,,Enum,mostly,"false,true,force",
QUERY_REWRITE_INTEGRITY,,,Enum,mostly,"enforced,trusted,stale_tolerated",
READ_ONLY_OPEN_DELAYED,,,Bool,mostly,,
RESULT_CACHE_MAX_RESULT,3,10,,mostly,,
SERIAL_REUSE,,,Enum,mostly,"disable,all,select,dml,plsql,force",
SHRD_DUPL_TABLE_REFRESH_RATE,20,100,,mostly,,
SORT_AREA_SIZE,65536,10485760,,mostly,need PGA_AGGREGATE_TARGET=0,
SPATIAL_VECTOR_ACCELERATION,,,Bool,mostly,,
SQL_TRACE,,,Bool,maybe,,
STANDBY_DB_PRESERVE_STATES,,,Enum,maybe,"NONE,SESSION,ALL",
STANDBY_FILE_MANAGEMENT,,,Enum,maybe,"MANUAL,AUTO",
STAR_TRANSFORMATION_ENABLED,,,Enum,mostly,"FALSE,TRUE,TEMP_DISABLE",
TAPE_ASYNCH_IO,,,Bool,mostly,,
TEMP_UNDO_ENABLED,,,Bool,mostly,,
UNDO_RETENTION,300,1500,,mostly,,
UNIFIED_AUDIT_SGA_QUEUE_SIZE,1100000,30000000,,mostly,,
WORKAREA_SIZE_POLICY,,,Enum,mostly,"AUTO,MANUAL",
